              Formatid                                                                         Magics                                                                                                                                                                                    Magic Names                                                                                                                               
image/xcf                                 , "fmt/615"                                                                                                           [Gimp Image File Format]                                                                                                                                                                                                                                           
image/xbm                                 , "x-fmt/207"                                                                                                         [X-Windows Bitmap Image (X11)]                                                                                                                                                                                                                                     
image/x3f                                 , "fmt/661"                                                                                                           [Sigma RAW Image]                                                                                                                                                                                                                                                  
image/wpg                                 , "x-fmt/395", "fmt/1042"                                                                                             [WordPerfect Graphics Metafile (1.0)] [WordPerfect Graphics Metafile (2.0)]                                                                                                                                                                                        
image/wmf                                 , "x-fmt/119"                                                                                                         [Windows Metafile Image]                                                                                                                                                                                                                                           
image/wirelessBMP                         , "fmt/497"                                                                                                           [Wireless Bitmap]                                                                                                                                                                                                                                                  
image/webp                                , "fmt/566", "fmt/567", "fmt/568"                                                                                     [WebP (Lossy)] [WebP (Lossless)] [WebP (Extended)]                                                                                                                                                                                                                 
image/windowsClipboard                    , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
image/vtf                                 , "fmt/985"                                                                                                           [Valve Texture Format]                                                                                                                                                                                                                                             
image/vicar                               , "fmt/383"                                                                                                           [VICAR (Video Image Communication and Retrieval) Planetary File Format]                                                                                                                                                                                            
image/vbm                                 , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
image/utahRLE                             , "x-fmt/189"                                                                                                         [SDSC Image Tool Run-Length Encoded Bitmap]                                                                                                                                                                                                                        
image/truePaint                           , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
image/trs80Star                           , "x-fmt/171"                                                                                                         [Inset Systems Bitmap]                                                                                                                                                                                                                                             
image/timexHiRes                          , "x-fmt/100"                                                                                                         [AutoCAD Script]                                                                                                                                                                                                                                                   
image/timexHiColor                        , "x-fmt/100"                                                                                                         [AutoCAD Script]                                                                                                                                                                                                                                                   
image/tiff                                , "fmt/353"                                                                                                           [Tagged Image File Format]                                                                                                                                                                                                                                         
image/tga                                 , "x-fmt/367", "fmt/402"                                                                                              [Truevision TGA Bitmap (1.0)] [Truevision TGA Bitmap (2.0)]                                                                                                                                                                                                        
image/svg                                 , "fmt/91", "fmt/92", "fmt/413"                                                                                       [Scalable Vector Graphics (1.0)] [Scalable Vector Graphics (1.1)] [Scalable Vector Graphics Tiny (1.2)]                                                                                                                                                            
image/sunRaster                           , "x-fmt/100", "fmt/134", "x-fmt/184"                                                                                 [AutoCAD Script] [MPEG 1/2 Audio Layer 3] [Sun Raster Image]                                                                                                                                                                                                       
image/sunIcon                             , "x-fmt/207"                                                                                                         [X-Windows Bitmap Image (X11)]                                                                                                                                                                                                                                     
image/stosBank                            , "fmt/1467"                                                                                                          [STOS Memory Bank]                                                                                                                                                                                                                                                 
image/srt                                 , "fmt/1218"                                                                                                          [SubRip Subtitle File]                                                                                                                                                                                                                                             
image/spritePad                           , "fmt/1561"                                                                                                          [SpritePad Image Format]                                                                                                                                                                                                                                           
image/spectrum512U                        , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
image/spectrum512S                        , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
image/spectrum512C                        , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
image/softelText                          , "x-fmt/367"                                                                                                         [Truevision TGA Bitmap (1.0)]                                                                                                                                                                                                                                      
image/sketchPaddles                       , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
image/simpleVectorFormat                  , "fmt/933"                                                                                                           [Simple Vector Format (1)]                                                                                                                                                                                                                                         
image/sgi                                 , "x-fmt/140"                                                                                                         [Silicon Graphics Image]                                                                                                                                                                                                                                           
image/seattleFilmWorks                    , "fmt/1104"                                                                                                          [Seattle FilmWorks SFW Image Format]                                                                                                                                                                                                                               
image/scitexCT                            , "x-fmt/146"                                                                                                         [Scitex Continuous Tone Bitmap]                                                                                                                                                                                                                                    
image/samarHiresInterlace                 , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
image/rla                                 , "x-fmt/188"                                                                                                         [SDSC Image Tool Wavefront Raster Image]                                                                                                                                                                                                                           
image/ripIcon                             , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
image/raf                                 , "fmt/642"                                                                                                           [Fujifilm RAW Image Format]                                                                                                                                                                                                                                        
image/radiance                            , "fmt/591"                                                                                                           [Radiance RGBE Image Format]                                                                                                                                                                                                                                       
image/qrt                                 , "x-fmt/185"                                                                                                         [Raw Bitmap]                                                                                                                                                                                                                                                       
image/q4                                  , "fmt/1447"                                                                                                          [XLD4 (Bitmap Image)]                                                                                                                                                                                                                                              
image/psd                                 , "x-fmt/92"                                                                                                          [Adobe Photoshop]                                                                                                                                                                                                                                                  
image/progressiveGraphicsFile             , "fmt/1128"                                                                                                          [Progressive Graphics File]                                                                                                                                                                                                                                        
image/prismPaint                          , "x-fmt/175"                                                                                                         [MacPaint Graphics]                                                                                                                                                                                                                                                
image/printfox                            , "fmt/1092"                                                                                                          [Alias Pix Image File]                                                                                                                                                                                                                                             
image/printMasterShape                    , "x-fmt/102"                                                                                                         [3D Studio Shapes]                                                                                                                                                                                                                                                 
image/ppm                                 , "x-fmt/178", "fmt/408"                                                                                              [Portable Pixel Map - ASCII] [Portable Pixel Map - Binary]                                                                                                                                                                                                         
image/portfolioGraphics                   , "x-fmt/342"                                                                                                         [Microsoft FoxPro Memo]                                                                                                                                                                                                                                            
image/png                                 , "fmt/11", "fmt/12", "fmt/935"                                                                                       [Portable Network Graphics (1.0)] [Portable Network Graphics (1.1)] [Animated Portable Network Graphics]                                                                                                                                                           
image/pixArt                              , "x-fmt/171"                                                                                                         [Inset Systems Bitmap]                                                                                                                                                                                                                                             
image/picturePublisher                    , "x-fmt/85"                                                                                                          [Picture Publisher Bitmap (5.0)]                                                                                                                                                                                                                                   
image/picturePackerMedRes                 , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
image/pict                                , "x-fmt/80", "fmt/341"                                                                                               [Macintosh PICT Image (1.0)] [Macintosh PICT Image (2.0)]                                                                                                                                                                                                          
image/photoChrome                         , "fmt/134", "x-fmt/166"                                                                                              [MPEG 1/2 Audio Layer 3] [PICS Animation]                                                                                                                                                                                                                          
image/pgm                                 , "fmt/406", "fmt/407"                                                                                                [Portable Grey Map - Binary] [Portable Grey Map - ASCII]                                                                                                                                                                                                           
image/pgx                                 , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
image/perfectPix                          , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
image/pentaxRaw                           , "fmt/353"                                                                                                           [Tagged Image File Format]                                                                                                                                                                                                                                         
image/pcx                                 , "fmt/90"                                                                                                            [PCX (5)]                                                                                                                                                                                                                                                          
image/pcd                                 , "fmt/211"                                                                                                           [Kodak Photo CD Image]                                                                                                                                                                                                                                             
image/pcPaint                             , "x-fmt/170"                                                                                                         [PC Paint Bitmap]                                                                                                                                                                                                                                                  
image/pbm                                 , "fmt/134", "x-fmt/164", "fmt/409"                                                                                   [MPEG 1/2 Audio Layer 3] [Portable Bitmap Image - ASCII] [Portable Bitmap Image - Binary]                                                                                                                                                                          
image/panasonicRaw                        , "fmt/662"                                                                                                           [Panasonic Raw]                                                                                                                                                                                                                                                    
image/pam                                 , "fmt/405"                                                                                                           [Portable Any Map]                                                                                                                                                                                                                                                 
image/palmBitmap                          , "fmt/1443"                                                                                                          [QuarkXPress Document (3.0)]                                                                                                                                                                                                                                       
image/paintworks                          , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
image/painterRIF                          , "x-fmt/187"                                                                                                         [Painter RIFF Image File]                                                                                                                                                                                                                                          
image/paintShopPro                        , "x-fmt/234"                                                                                                         [Paint Shop Pro Image (5.0)]                                                                                                                                                                                                                                       
image/paintPro                            , "x-fmt/100", "fmt/134"                                                                                              [AutoCAD Script] [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                          
image/pabloPaint                          , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
image/orf                                 , "fmt/668"                                                                                                           [Olympus RAW]                                                                                                                                                                                                                                                      
image/ora                                 , "fmt/998"                                                                                                           [OpenRaster Image Format]                                                                                                                                                                                                                                          
image/odg                                 , "x-fmt/263", "fmt/297"                                                                                              [ZIP Format] [OpenDocument Graphics (1.2)]                                                                                                                                                                                                                         
image/nikon                               , "fmt/202", "fmt/353"                                                                                                [Nikon Digital SLR Camera Raw Image File] [Tagged Image File Format]                                                                                                                                                                                               
image/nrrd                                , "fmt/1002", "fmt/1005"                                                                                              [Nearly Raw Raster Data (1)] [Nearly Raw Raster Data (4)]                                                                                                                                                                                                          
image/neochrome                           , "fmt/134", "fmt/1565"                                                                                               [MPEG 1/2 Audio Layer 3] [reStructuredText]                                                                                                                                                                                                                        
image/neoPaintPattern                     , "x-fmt/76"                                                                                                          [CorelDraw Pattern]                                                                                                                                                                                                                                                
image/neoDeskIcon                         , "fmt/1540", "fmt/1545"                                                                                              [NeoDisk Icon File (3)] [NeoDesk Icon File (1 and 2)]                                                                                                                                                                                                              
image/naplps                              , "x-fmt/163"                                                                                                         [NAP Metafile]                                                                                                                                                                                                                                                     
image/multiArtist                         , "fmt/1468"                                                                                                          [multiArtist File]                                                                                                                                                                                                                                                 
image/msp                                 , "x-fmt/214", "fmt/912"                                                                                              [Microsoft Paint (1)] [Microsoft Paint (2)]                                                                                                                                                                                                                        
image/mrw                                 , "fmt/669"                                                                                                           [Minolta RAW]                                                                                                                                                                                                                                                      
image/mpp                                 , "fmt/1471"                                                                                                          [Multi Palette Picture File]                                                                                                                                                                                                                                       
image/movieMaker                          , "x-fmt/102"                                                                                                         [3D Studio Shapes]                                                                                                                                                                                                                                                 
image/mng                                 , "fmt/528"                                                                                                           [Multiple-image Network Graphics]                                                                                                                                                                                                                                  
image/mig                                 , "fmt/1470"                                                                                                          [MIG Graphics File]                                                                                                                                                                                                                                                
image/miff                                , "fmt/930"                                                                                                           [Magick Image File Format]                                                                                                                                                                                                                                         
image/micrografxDraw                      , "x-fmt/294", "x-fmt/295"                                                                                            [Micrografx Draw (3.0)] [Micrografx Draw (4.0)]                                                                                                                                                                                                                    
image/megaPaintPattern                    , "x-fmt/76"                                                                                                          [CorelDraw Pattern]                                                                                                                                                                                                                                                
image/mcpp                                , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
image/mat5                                , "fmt/806"                                                                                                           [MATLAB Mat File (Level 5)]                                                                                                                                                                                                                                        
image/makichan                            , "fmt/1469"                                                                                                          [MAKIchan Graphics File]                                                                                                                                                                                                                                           
image/macPaint                            , "fmt/134", "x-fmt/161"                                                                                              [MPEG 1/2 Audio Layer 3] [MacPaint Image (1)]                                                                                                                                                                                                                      
image/macDraw                             , "fmt/341", "fmt/1427"                                                                                               [Macintosh PICT Image (2.0)] [MacDraw (II)]                                                                                                                                                                                                                        
image/lotusChart                          , "x-fmt/82"                                                                                                          [Lotus 1-2-3 Chart]                                                                                                                                                                                                                                                
image/lottie                              , "fmt/817"                                                                                                           [JSON Data Interchange Format]                                                                                                                                                                                                                                     
image/kodakKDC                            , "fmt/154", "fmt/353"                                                                                                [Tagged Image File Format for Electronic Photography (TIFF/EP)] [Tagged Image File Format]                                                                                                                                                                         
image/kodakK25                            , "fmt/154"                                                                                                           [Tagged Image File Format for Electronic Photography (TIFF/EP)]                                                                                                                                                                                                    
image/kodakDCR                            , "fmt/192"                                                                                                           [Kodak Digital Camera Raw Image File]                                                                                                                                                                                                                              
image/kissCel                             , "x-fmt/223"                                                                                                         [Autodesk Animator CEL File Format]                                                                                                                                                                                                                                
image/jpg                                 , "fmt/43", "fmt/44"                                                                                                  [JPEG File Interchange Format (1.01)] [JPEG File Interchange Format (1.02)]                                                                                                                                                                                        
image/jpegXR                              , "fmt/590"                                                                                                           [JPEG Extended Range]                                                                                                                                                                                                                                              
image/jpegXL                              , "fmt/1484", "fmt/1485"                                                                                              [JPEG XL Codestream] [JPEG XL]                                                                                                                                                                                                                                     
image/jpeg2000                            , "x-fmt/392"                                                                                                         [JP2 (JPEG 2000 part 1)]                                                                                                                                                                                                                                           
image/jng                                 , "fmt/529"                                                                                                           [JPEG Network Graphics]                                                                                                                                                                                                                                            
image/ist                                 , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
image/interPainter                        , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
image/insetPix                            , "x-fmt/171"                                                                                                         [Inset Systems Bitmap]                                                                                                                                                                                                                                             
image/ing                                 , "x-fmt/229"                                                                                                         [Intergraph Raster Image]                                                                                                                                                                                                                                          
