>>> abydos (v0.2.0) - IMAGE (http://snisurset.net/code/abydos/news.html)
Image format	MIME type(s)	Extension(s)	Supported by abydos	Supported by gdk-pixbuf	Supported by Deark	Supported by ImageMagick	Supported by FFmpeg
	.scd (MS ADPCM, MPEG Audio, 16 bit PCM)
	.sd9 (MS ADPCM)
	.smp (MS ADPCM)
	.spw (PSX configurable ADPCM)
	.stm/lstm [amts/ps2stm/stma] (16 bit PCM, DVI IMA ADPCM, GC DSP ADPCM)
	.str (SDX2 DPCM)
	.stx (GC AFC ADPCM)
	.ulw (u-Law PCM)
	.um3 (Ogg Vorbis)
	.xa (CD-ROM XA audio)
	.xma (MS XMA/XMA2)
	.sb0/sb1/sb2/sb3/sb4/sb5/sb6/sb7 (many)
	.sm0/sm1/sm2/sm3/sm4/sm5/sm6/sm7 (many)
	.bao/pk (many)
artificial/generic headers:
	.genh (lots)
	.txth (lots)
loop assists:
	.mus (playlist for .acm)
	.pos (loop info for .wav: 32 bit LE loop start sample + loop end sample)
	.sli (loop info for .ogg)
	.sfl (loop info for .ogg)
	.vgmstream + .vgmstream.pos (FFmpeg formats + loop assist)
other:
	.adxkey (decryption key for .adx)
	.ahxkey (decryption key for .ahx)
	.hcakey (decryption key for .hca)
	.fsbkey (decryption key for .fsb)
	.bnsfkey (decryption key for .bnsf)
	.txtp (per song segment/layer handler and player configurator)


>>> gdview (v0.92) (DOS) (http://www.demelo.org/gdm/gdv/formats.f.html)
Images
	1st Publisher ART
	Advanced Art Studio
	Alias PIX / Alias Mask / Vivid IMG
	Art Director
	Artist 64
	Atari Image Manager (AIM)
	Autodesk Animator Pro CEL
	Blazing Paddles
	CBM hi-res format
	CDU Paint
	CMU wm raster
	ColoRIX
	Corel Draw
	Craig Bruce's BM format
	DCX
	Degas / Degas Elite uncompressed
	Degas Elite compressed
	Device Independent Bitmap (DIB/BMP)
	Doodle (Atari ST)
	Draw256
	Encapsulated PostScript (EPS) - TIFF preview
	Face
	FLI (C64)
	GEM Image
	Giffer QDV
	Girls & Poker for Windows data
	Graphics Interchange Format (GIF)
	Grasp Library (GL)
	Halo CUT
	Handy Scanner 2000
	HRZ
	HSI Raw
	ILBM (IFF)
	IM
	JPEG/JFIF
	Koala Painter
	MacPaint
	MCUREDIT (toolbox)
	MS Paint
	MS Windows cursor
	MS Windows icon
	MS Word CAPTURE screen
	MTV
	Neochrome
	OS/2 icon
	OS/2 pointer
	PC Paintbrush PCX
	PCJ
	PCPAINT / Pictor PIC
	Photo CD
	Picture Publisher 4 and 5
	Portable Bit/Gray/Pix/Anymap
	Portable Network Graphics (PNG)
	Psion Series 3 Bitmap (PIC)
	QRT RAW / DKB RAW / POV Dump
	Raw graphical image
	RGB Intermediate Format
	RIFF DIB (RDIB)
	SGI Image format
	Specem PRG
	SPECTRUM / VGASPEC SP
	Spectrum 512 compressed (SPC)
	Spectrum 512 uncompressed (SPU)
	Strip BlackJack / Stripoid data
	Sun Icon
	Sun RASter
	TGA
	TIFF
	Tiny
	TZ Strip Poker
	Vidcom 64
	VIS
	X Bitmap (XBM)
	X Puzzle
	XIMG
	YBM
	YUV
	ZX Spectrum Screen
	ZX Spectrum Snapshot (SNA)
Animations
	FLIC
	Tempra FLX
Binary Data
	Aiken BCD
	Binary Coded Decimal (BCD)
	Binary display
	Decimal display
	Excess 3 BCD
	Hexadecimal display
	Octal display
Text
	1st Word
	Adobe Standard text
	Adobe Symbol text
	Adobe Zapf Dingbats text
	AmigaGuide
	ANSI X3.4-1968 text
	Apple II text
	ASCII with Unicode codes
	ASMO 449 text
	Atari ATASCII text
	Atari ST/TT text
	BALTIC text
	BS 4730 text
	BS VIEWDATA text
	Code Page 037 (EBCDIC - United States) text
	Code Page 038 (EBCDIC-INT) text
	Code Page 10000 (Macintosh Roman 10000) text
	Code Page 10006 (Macintosh Greek 1) text
	Code Page 10007 (Macintosh Cyrillic) text
	Code Page 10029 (Macintosh Latin 2) text
	Code Page 1004 (OS/2 Latin 1) text
	Code Page 1006 (Urdu - ISO) text
	Code Page 10079 text
	Code Page 1008 (Arabic Windows - original) text
	Code Page 10081 text
	Code Page 1025 (Cyrillic - EBCDIC) text
	Code Page 1026 text
	Code Page 1027 (Japan (Latin) - EBCDIC) text
	Code Page 1028 (Hebrew - Publishing) text
	Code Page 1038 (PostScript Symbol Set) text
	Code Page 1041 (Japan SAA) text
	Code Page 1043 (Taiwan SAA) text
	Code Page 1046 (Arabic - EBCDIC) text
	Code Page 1047 text
	Code Page 1051 (HP Roman 8) text
	Code Page 1088 (Korea KS) text
	Code Page 1089 (Arabic - ISO 8859-6) text
	Code Page 1092 (PC Symbols) text
	Code Page 1097 (Farsi - EBCDIC) text
	Code Page 1098 (Farsi) text
	Code Page 1112 (Baltic - EBCDIC) text
	Code Page 1114 (Taiwan Big-5) text
	Code Page 1115 (China GB) text
	Code Page 1116 (Estonia) text
	Code Page 1117 (Latvia) text
	Code Page 1118 (Lithuania) text
	Code Page 1119 (Lithusanian and Russian) text
	Code Page 1122 (Estonia - EBCDIC) text
	Code Page 1123 text
	Code Page 1124 text
	Code Page 1250 (MS Windows Eastern Europe) text
	Code Page 1251 (MS Windows Cyrillic) text
	Code Page 1252 (MS Windows ANSI) text
	Code Page 1253 (MS Windows Greek) text
	Code Page 1254 (MS Windows Turkish) text
	Code Page 1255 text
	Code Page 1256 text
	Code Page 1257 text
	Code Page 1258 (MS Windows Vietnamese) text
	Code Page 1275 (Apple Latin 1) text
	Code Page 1276 (Adobe PS Standard Encoding) text
	Code Page 1277 (Adobe PS ISOLatin1 Encoding) text
	Code Page 1280 (Apple Greece) text
	Code Page 1281 (Apple Turkey) text
	Code Page 1282 (Apple Central European) text
	Code Page 1283 (Apple Cyrillic) text
	Code Page 256 text
	Code Page 259 (Symbols WP - EBCDIC) text
	Code Page 273 text
	Code Page 274 text
	Code Page 275 text
	Code Page 277 text
	Code Page 278 text
	Code Page 280 text
	Code Page 282 text
	Code Page 284 text
	Code Page 285 text
	Code Page 290 text
	Code Page 293 (APL - EBCDIC) text
	Code Page 297 text
	Code Page 361 (International - Publishing) text
	Code Page 363 (Symbols - Publishing) text
	Code Page 367 (G0 - ASCII) text
	Code Page 382 (Austria, Germany - Publishing) text
	Code Page 383 (Belgium - Publishing) text
	Code Page 385 (Canada (French) - Publishing) text
	Code Page 386 (Denmark, Norway - Publishing) text
	Code Page 387 (Finland, Sweden - Publishing) text
	Code Page 388 (France - Publishing) text
	Code Page 389 (Italy - Publishing) text
	Code Page 391 (Portugal - Publishing) text
	Code Page 392 (Spain - Publishing) text
	Code Page 393 (Latin America - Publishing) text
	Code Page 394 (United Kingdom - Publishing) text
	Code Page 395 (United States - Publishing) text
	Code Page 420 text
	Code Page 423 text
	Code Page 424 text
	Code Page 437 (USA) text
	Code Page 500 (EBCDIC) text
	Code Page 737 (Greek II or IBM Greek) text
	Code Page 775 ("BaltRim") text
	Code Page 813 (Greece - ISO 8859-7) text
	Code Page 819 (Latin 1 - ISO 8859-1) text
	Code Page 829 (Math Symbols - Publishing) text
	Code Page 833 (Korea - EBCDIC) text
	Code Page 836 (China - EBCDIC) text
	Code Page 838 (Thai - EBCDIC) text
	Code Page 850 (Latin I - multilingual) text
	Code Page 851 text
	Code Page 852 (Latin II - slavic) text
	Code Page 853 (Multilingual Latin 3) text
	Code Page 855 (Cyrillic I) text
	Code Page 856 (Hebrew - old) text
	Code Page 857 (Turkish) text
	Code Page 860 (Portuguese) text
	Code Page 861 (Icelandic) text
	Code Page 862 text
	Code Page 863 (French Canadian) text
	Code Page 864 text
	Code Page 865 (Nordic) text
	Code Page 866 (Cyrillic 2 or Russian) text
	Code Page 868 text
	Code Page 869 (Greek I or IBM Modern Greek) text
	Code Page 870 text
	Code Page 871 text
	Code Page 874 text
	Code Page 875 text
	Code Page 878 (Russia - Internet) text
	Code Page 880 text
	Code Page 891 text
	Code Page 895 (Japan G0 (Latin) - EUC) text
	Code Page 896 (Japan G2 (Katakana) - EUC) text
	Code Page 897 (Japan) text
	Code Page 903 text
	Code Page 904 text
	Code Page 907 (APL) text
	Code Page 909 (APL2 Extended) text
	Code Page 910 (APL2) text
	Code Page 912 (Latin 2 - ISO 8859-2) text
	Code Page 913 (Latin 3 - ISO 8859-3) text
	Code Page 914 (Latin 4 - ISO 8859-4) text
	Code Page 915 (Cyrillic - ISO 8859-5) text
	Code Page 916 (Israel - ISO 8859-8) text
	Code Page 918 text
	Code Page 920 (Latin 5 - ISO 8859-9) text
	Code Page 921 (Baltic) text
	Code Page 922 (Estonia) text
	CSA Z243.4-1985-1 text
	CSA Z243.4-1985-2 text
	CSA Z243.4-1985-GR text
	CSN 369103 text
	CWI text
	DEC-MCS text
	DIN 66003 text
	DS 2089 text
	EBCDIC text (generic version)
	EBCDIC-AT-DE text
	EBCDIC-AT-DE-A text
	EBCDIC-CA-FR text
	EBCDIC-DK-NO text
	EBCDIC-DK-NO-A text
	EBCDIC-ES text
	EBCDIC-ES-A text
	EBCDIC-ES-S text
	EBCDIC-FI-SE text
	EBCDIC-FI-SE-A text
	EBCDIC-FR text
	EBCDIC-IS-FRISS text
	EBCDIC-IT text
	EBCDIC-PT text
	EBCDIC-UK text
	EBCDIC-US text
	ECMA-CYRILLIC text
	Epson Denmark text
	Epson England text
	Epson France text
	Epson Italy text
	Epson Japan text
	Epson Spain text
	Epson Sweden text
	Exec MemoMaker
	GB 1988-80 text
	GOST 19768-74 text
	GREEK-CCITT text
	GREEK7 text
	GREEK7-OLD text
	HP 48 text
	HP-ROMAN8 text
	Hypertext Markup Language (HTML)
	INIS text
	INIS-8 text
	INIS-CYRILLIC text
	INVARIANT text
	ISO 10646
	ISO 2033-1983 text
	ISO 5427 text
	ISO 5427:1981 text
	ISO 5428:1980 text
	ISO 646-ES text
	ISO 646-ES2 text
	ISO 646-IT text
	ISO 646-PT text
	ISO 646-PT2 text
	ISO 646.BASIC:1983 text
	ISO 646.IRV:1983 text
	ISO 8859-10:1993 text
	ISO 8859-1:1987 text
	ISO 8859-2:1987 text
	ISO 8859-3:1988 text
	ISO 8859-4:1988 text
	ISO 8859-5:1988 text
	ISO 8859-6:1987 text
	ISO 8859-7:1987 text
	ISO 8859-8:1988 text
	ISO 8859-9:1989 text
	ISO 8859-SUPP text
	JIS C6220-1969-JP text
	JIS C6220-1969-RO text
	JIS C6229-1984-A text
	JIS C6229-1984-B text
	JIS C6229-1984-B-ADD text
	JIS C6229-1984-HAND text
	JIS C6229-1984-HAND-ADD text
	JIS C6229-1984-KANA text
	JUS I.B1. 002 text
	JUS I.B1.003-MAC text
	JUS I.B1.003-SERB text
	KOI-8R text
	KSC 5636 text
	LATIN-GREEK text
	LATIN-GREEK-1 text
	Lotus Ami / Lotus Ami Pro
	Magnatype
	MS Windows "MS LineDraw" font text
	MS Windows "Symbol" font text
	MS Windows "Wingdings" font text
	MS Windows 3.0 ANSI text
	MS Windows Write (WRI)
	MS Word for DOS
	MS Word for Macintosh
	MS Word for Windows, MS Windows 95/NT WordPad
	MS Works for DOS word processor
	MSZ 7795/3 text
	Multimate, Multimate Advantage
	Navy DIF
	NC NC00-10:81 text
	NEXTSTEP text
	NF Z 62-010 (1973) text
	NF Z 62-010 text
	nroff
	NS 4551-1 text
	NS 4551-2 text
	PC Write
	Protext
	Rich-Text Format
	SAMI text
	SEN 850200 B text
	SEN 850200 C text
	SGML, XML
	T.61-7BIT text
	Unicode V1.0 text
	Unicode V1.0.1 text
	Unicode V1.1/2.0 text
	UTF-8
	WordPerfect
	WordStar 2000
	WordStar
	XyWrite
Palettes
	6 bit raw palette
	8 bit raw palette
Fonts
	Commodore 64/128 font
	Fontedit (Chris Howe) font
	Letters font
	Raw BIOS font
	The Font Editor font
	The Graphics Engine font
	ZX Spectrum Big font
	ZX Spectrum Standard font
Sounds
	8SVX
	AVR
	Creative Music (CMF)
	Creative Voice (VOC)
	DEC Audio
	GTS Sound Sample
	Headerless Sound Sample (raw)
	Psion Series 3 Wave
	RIFF Wave (WAV)
	Scream Tracker 3/DigiPlayer sample
	Sounder
	SoundTool / Wired for Sound
	Sun/NeXT Audio (AU)
	Totosampler
	VoiceMaster
Terminal Codes
	ANSI music
	ANSI X3.64 data stream (*.ANS)
	Avatar data stream
	IBM PC text mode screen image (binary)
	iCE Color ANSI
	PC Board color codes text
	Renegade Pipe Code text
	The Last Video Interface (LVI) data stream
	TTY
	WildCat 3.0+ color code text
	WWIV color code text
Databases/Worksheets
	dBASE / FoxBase / FoxBase+
	dbLite
	FoxPro, FoxPro for Windows
	Lotus 1-2-3 (and compatible formats)
	System Data Format (SDF)
File Archives/Compressed Data
	AMG
	Apple Macintosh resource fork data
	AR
	ARC
	ARJ
	CBM ARC
	Crunch
	Crush
	Descent .HOG
	Duke Nukem 3D .GRP
	DWC
	gzip (.gz)
	HA
	Hyper
	id software WAD
	LARC
	LHarc / LHA / LHice
	LZEXE compressed EXE
	MacBinary
	MAR
	MDCD
	MS Cabinet (.CAB)
	MS Windows clipboard
	MS Windows resource
	Novosielski library (LBR)
	PAK
	PUTGET
	Quake PACK
	Quake WAD2
	RAR
	SAR
	Squeeze
	SQueezed files
	Stuff-It
	SWAG compressed archive
	T64
	Unix compress (.z)
	Unix Standard tape archiver (tar)
	YellowPoint disk set
	ZIP
	ZOO
Executables/Decodable Data
	BOO encoded data
	BTOA
	Caesar
	Device Independent Bitmap - Embedded
	Executables (EXE, COM, BAT, associations)
	HQX (BinHex)
	Intel Hex
	MIME Base64
	MIME Quoted Printable
	ROT 13
	UU-Encoded data
	WordPerfect 7-bit transfer format
	XX-Encoded data
Misc. Types
@BASIC
	Commodore BASIC 1.0
	Commodore BASIC 10.0
	Commodore BASIC 2.0 w/ Super Extender
	Commodore BASIC 2.0
	Commodore BASIC 3.5
	Commodore BASIC 4.0 Expansion for C64
	Commodore BASIC 4.0
	Commodore BASIC 7.0
	Program Information File (PIF)
	QWK Mail MESSAGES.DAT
	Simon's BASIC
	Speech BASIC
	Turtle BASIC

>>> GameExtractor (v3.10) - GAME ARCHIVES (http://www.watto.org/game_extractor.html https://sourceforge.net/projects/gameextractor/files/)
Write	Game	Archives	Previews and/or Thumbnails
 	!Dead Pixels Adventure!	*.win	*.png *.wav
 	007 Everything Or Nothing [Xbox]	*.viv	
 	10 Second Ninja X	*.dat *.win	*.png *.wav
 	12 is Better Than 6	*.win	*.ogg *.png *.wav
 	15 Seconds	*.nw *.pak	*.ogg *.png *.wav
 	16bit Trader	*.assets *.resS	*.AudioClip *.Texture2D
 	1775: Rebellion	*.assets *.resS *.resource	*.Texture2D
 	18 Wheels Of Steel: Across America	*.zipfs	
 	18 Wheels Of Steel: Convoy	*.scs	
 	18 Wheels Of Steel: Haulin	*.scs	
 	18 Wheels Of Steel: Pedal To The Metal	*.zipfs	
 	1812: The Invasion of Canada	*.assets *.resS *.resource	*.Texture2D
 	187 Ride Or Die	*.mfd	
 	2000 to 1: A Space Felony	*.pak	*.png *.Texture2D
 	28 Waves Later	*.assets *.resS *.resource	*.Texture2D
 	2D Neon Cube	*.assets *.assets.resS *.resource	*.Texture2D
 	35mm	*.assets *.resS	*.AudioClip *.Texture2D
 	3D Sex Villa	*.bxp	
 	3D Ultra Cool Pool	*.tbv	*.wav
 	3D Ultra Cool Radio Control Racers	*.rbx *.tbv	*.wav
 	3D Ultra Mini Golf	*.rbx	
 	3D Ultra Minigolf Adventures	*.pak	
 	3D Ultra Pinball	*.001 *.002	*.wav
 	3D Ultra Pinball: Creep Night	*.001	
 	3D Ultra Pinball: The Lost Continent	*.001	*.wav
 	3D Ultra Pinball: Thrill Ride	*.tbv	*.wav
 	3SwitcheD	*.vfs	*.dds *.ogg *.png *.wav
 	4x4 Evolution	*.pod *.pod	*.raw
 	4x4 Evolution 2	*.pod *.pod	
 	50 Cent: Bulletproof [PS2]	*.afs	
 	7 Sins	*.pak	
 	7 Wonders: Ancient Alien Makeover	*.dat	*.dds *.mp3 *.ogg *.png *.wav
 	7 Wonders: Magical Mystery Tour	*.dat	*.dds *.ogg *.png *.wav
 	7 Wonders: The Treasures of Seven	*.sfs	*.jp2 *.ogg *.png
 	80 Days	*.0000 *.0000	*.dds *.ogg
 	80's Style	*.nw *.pak	*.ogg *.png
 	8bit Invasion	*.assets *.assets.resS *.resource	*.Texture2D
 	8infinity	*.assets *.resS *.resource	*.Texture2D
 	9 Balls	*.assets *.assets.resS *.resource	*.AudioClip *.AudioClip *.Texture2D
 	A Penny For Some Motivation	*.assets *.assets.resS *.resource	*.Texture2D
 	A Plot Story	*.assets *.assets.resS *.resource	*.AudioClip *.Texture2D
 	A Roll-Back Story	*.assets *.unity3d *.resource	*.AudioClip *.Texture2D
 	A Salem Witch Trial	*.pak	*.png *.wav
 	A Valley Without Wind	*.assets	*.AudioClip *.Texture2D
 	A Vampyre Story	*.fsb	*.wav
 	A Way Out	*.pak	*.png
 	Abomination: The Nemesis Project	*.awf *.clt	
 	Absconding Zatwor	*.assets	*.AudioClip *.Texture2D
 	Absoloot	*.nw *.pak	*.ogg *.png
 	Access Denied	*.assets *.resS *.resource	*.Texture2D
 	Ace of Protectors	*.win	*.ogg *.png *.wav
 	Ace Ventura	*.bin	
 	Aces Of The Galaxy	*.dpk	*.dds *.png
 	Achievement Clicker	*.assets *.assets.resS *.resource	*.Texture2D
 	Achievement Clicker 2019	*.assets *.assets.resS *.resource	*.Texture2D
 	Achievement Collector: Cat	*.nw *.pak	*.jpg *.png
 	Achievement Printer Part 1	*.assets *.assets.resS *.resource	*.Texture2D
 	Act Of War	*.dat	
 	Act Of War: High Treason	*.dat	
 	Action Henk	*.assets	*.AudioClip *.Texture2D
 	Action Rush	*.pak	*.png *.Texture2D
