>>> abydos (Linux - v0.2.1 - July 11, 2020) - IMAGE (http://snisurset.net/code/abydos/news.html)
Image format	MIME type(s)	Extension(s)	Supported by abydos	Supported by gdk-pixbuf	Supported by Deark	Supported by ImageMagick	Supported by FFmpeg
	Code Page 910 (APL2) text
	Code Page 912 (Latin 2 - ISO 8859-2) text
	Code Page 913 (Latin 3 - ISO 8859-3) text
	Code Page 914 (Latin 4 - ISO 8859-4) text
	Code Page 915 (Cyrillic - ISO 8859-5) text
	Code Page 916 (Israel - ISO 8859-8) text
	Code Page 918 text
	Code Page 920 (Latin 5 - ISO 8859-9) text
	Code Page 921 (Baltic) text
	Code Page 922 (Estonia) text
	CSA Z243.4-1985-1 text
	CSA Z243.4-1985-2 text
	CSA Z243.4-1985-GR text
	CSN 369103 text
	CWI text
	DEC-MCS text
	DIN 66003 text
	DS 2089 text
	EBCDIC text (generic version)
	EBCDIC-AT-DE text
	EBCDIC-AT-DE-A text
	EBCDIC-CA-FR text
	EBCDIC-DK-NO text
	EBCDIC-DK-NO-A text
	EBCDIC-ES text
	EBCDIC-ES-A text
	EBCDIC-ES-S text
	EBCDIC-FI-SE text
	EBCDIC-FI-SE-A text
	EBCDIC-FR text
	EBCDIC-IS-FRISS text
	EBCDIC-IT text
	EBCDIC-PT text
	EBCDIC-UK text
	EBCDIC-US text
	ECMA-CYRILLIC text
	Epson Denmark text
	Epson England text
	Epson France text
	Epson Italy text
	Epson Japan text
	Epson Spain text
	Epson Sweden text
	Exec MemoMaker
	GB 1988-80 text
	GOST 19768-74 text
	GREEK-CCITT text
	GREEK7 text
	GREEK7-OLD text
	HP 48 text
	HP-ROMAN8 text
	Hypertext Markup Language (HTML)
	INIS text
	INIS-8 text
	INIS-CYRILLIC text
	INVARIANT text
	ISO 10646
	ISO 2033-1983 text
	ISO 5427 text
	ISO 5427:1981 text
	ISO 5428:1980 text
	ISO 646-ES text
	ISO 646-ES2 text
	ISO 646-IT text
	ISO 646-PT text
	ISO 646-PT2 text
	ISO 646.BASIC:1983 text
	ISO 646.IRV:1983 text
	ISO 8859-10:1993 text
	ISO 8859-1:1987 text
	ISO 8859-2:1987 text
	ISO 8859-3:1988 text
	ISO 8859-4:1988 text
	ISO 8859-5:1988 text
	ISO 8859-6:1987 text
	ISO 8859-7:1987 text
	ISO 8859-8:1988 text
	ISO 8859-9:1989 text
	ISO 8859-SUPP text
	JIS C6220-1969-JP text
	JIS C6220-1969-RO text
	JIS C6229-1984-A text
	JIS C6229-1984-B text
	JIS C6229-1984-B-ADD text
	JIS C6229-1984-HAND text
	JIS C6229-1984-HAND-ADD text
	JIS C6229-1984-KANA text
	JUS I.B1. 002 text
	JUS I.B1.003-MAC text
	JUS I.B1.003-SERB text
	KOI-8R text
	KSC 5636 text
	LATIN-GREEK text
	LATIN-GREEK-1 text
	Lotus Ami / Lotus Ami Pro
	Magnatype
	MS Windows "MS LineDraw" font text
	MS Windows "Symbol" font text
	MS Windows "Wingdings" font text
	MS Windows 3.0 ANSI text
	MS Windows Write (WRI)
	MS Word for DOS
	MS Word for Macintosh
	MS Word for Windows, MS Windows 95/NT WordPad
	MS Works for DOS word processor
	MSZ 7795/3 text
	Multimate, Multimate Advantage
	Navy DIF
	NC NC00-10:81 text
	NEXTSTEP text
	NF Z 62-010 (1973) text
	NF Z 62-010 text
	nroff
	NS 4551-1 text
	NS 4551-2 text
	PC Write
	Protext
	Rich-Text Format
	SAMI text
	SEN 850200 B text
	SEN 850200 C text
	SGML, XML
	T.61-7BIT text
	Unicode V1.0 text
	Unicode V1.0.1 text
	Unicode V1.1/2.0 text
	UTF-8
	WordPerfect
	WordStar 2000
	WordStar
	XyWrite
Palettes
	6 bit raw palette
	8 bit raw palette
Fonts
	Commodore 64/128 font
	Fontedit (Chris Howe) font
	Letters font
	Raw BIOS font
	The Font Editor font
	The Graphics Engine font
	ZX Spectrum Big font
	ZX Spectrum Standard font
Sounds
	8SVX
	AVR
	Creative Music (CMF)
	Creative Voice (VOC)
	DEC Audio
	GTS Sound Sample
	Headerless Sound Sample (raw)
	Psion Series 3 Wave
	RIFF Wave (WAV)
	Scream Tracker 3/DigiPlayer sample
	Sounder
	SoundTool / Wired for Sound
	Sun/NeXT Audio (AU)
	Totosampler
	VoiceMaster
Terminal Codes
	ANSI music
	ANSI X3.64 data stream (*.ANS)
	Avatar data stream
	IBM PC text mode screen image (binary)
	iCE Color ANSI
	PC Board color codes text
	Renegade Pipe Code text
	The Last Video Interface (LVI) data stream
	TTY
	WildCat 3.0+ color code text
	WWIV color code text
Databases/Worksheets
	dBASE / FoxBase / FoxBase+
	dbLite
	FoxPro, FoxPro for Windows
	Lotus 1-2-3 (and compatible formats)
	System Data Format (SDF)
File Archives/Compressed Data
	AMG
	Apple Macintosh resource fork data
	AR
	ARC
	ARJ
	CBM ARC
	Crunch
	Crush
	Descent .HOG
	Duke Nukem 3D .GRP
	DWC
	gzip (.gz)
	HA
	Hyper
	id software WAD
	LARC
	LHarc / LHA / LHice
	LZEXE compressed EXE
	MacBinary
	MAR
	MDCD
	MS Cabinet (.CAB)
	MS Windows clipboard
	MS Windows resource
	Novosielski library (LBR)
	PAK
	PUTGET
	Quake PACK
	Quake WAD2
	RAR
	SAR
	Squeeze
	SQueezed files
	Stuff-It
	SWAG compressed archive
	T64
	Unix compress (.z)
	Unix Standard tape archiver (tar)
	YellowPoint disk set
	ZIP
	ZOO
Executables/Decodable Data
	BOO encoded data
	BTOA
	Caesar
	Device Independent Bitmap - Embedded
	Executables (EXE, COM, BAT, associations)
	HQX (BinHex)
	Intel Hex
	MIME Base64
	MIME Quoted Printable
	ROT 13
	UU-Encoded data
	WordPerfect 7-bit transfer format
	XX-Encoded data
Misc. Types
@BASIC
	Commodore BASIC 1.0
	Commodore BASIC 10.0
	Commodore BASIC 2.0 w/ Super Extender
	Commodore BASIC 2.0
	Commodore BASIC 3.5
	Commodore BASIC 4.0 Expansion for C64
	Commodore BASIC 4.0
	Commodore BASIC 7.0
	Program Information File (PIF)
	QWK Mail MESSAGES.DAT
	Simon's BASIC
	Speech BASIC
	Turtle BASIC

>>> recoil2png  (recoil2png --list)  (DevLab/vibe/recoil/)
EXT        FORMAT                                   PLATFORM
---        ------                                   --------
256        Interchange File Format                  Amiga
ABK        AMOS                                     Amiga
ACBM       Amiga Continuous Bitmap                  Amiga
BEAM       Multi-palette                            Amiga
DEEP       TVPaint                                  Amiga
DHR        Multi-palette                            Amiga
DR         Multi-palette                            Amiga
FLF        Turbo Rascal Syntax Error                Amiga
HAM        Hold-And-Modify 6                        Amiga
HAM6       Hold-And-Modify 6                        Amiga
HAM8       Hold-And-Modify 8                        Amiga
IFF        Interchange File Format                  Amiga
ILBM       Interleaved Bitmap                       Amiga
INFO       Icon                                     Amiga
LBM        Interleaved Bitmap                       Amiga
MP         Multi-palette                            Amiga
RGB8       Turbo Silver                             Amiga
RGBN       Turbo Silver                             Amiga
SHAM       Sliced HAM                               Amiga
DCT        DCTV                                     Amiga DCTV
DCTV       DCTV                                     Amiga DCTV
IFF        HAM-E                                    Amiga HAM-E
CM5        Mode 5                                   Amstrad CPC
FLF        Turbo Rascal Syntax Error                Amstrad CPC
FNT        8x8 font                                 Amstrad CPC
HGB        HinterGrundBild                          Amstrad CPC
PPH        Perfect Pix                              Amstrad CPC
SCR        Advanced OCP Art Studio                  Amstrad CPC
SGX        SymbOS graphic                           Amstrad CPC
WIN        Advanced OCP Art Studio                  Amstrad CPC
HGR        High Resolution                          Apple II
SPR        Sprites                                  Apple II
3200       3200                                     Apple IIGS
3201       3201                                     Apple IIGS
32K        Multi-palette                            Apple IIGS
GS         Apple Preferred Format                   Apple IIGS
IIGS       Apple Preferred Format                   Apple IIGS
PNT        Apple Preferred Format                   Apple IIGS
PNT        Paintworks                               Apple IIGS
SH3        SH3                                      Apple IIGS
SHR        Apple Preferred Format                   Apple IIGS
SHR        SHR                                      Apple IIGS
DHGR       Double High-Resolution                   Apple IIe
DHR        Double High-Resolution                   Apple IIe
MAC        MacPaint                                 Apple Macintosh
PNT        MacPaint                                 Apple Macintosh
PNTG       MacPaint                                 Apple Macintosh
256        Paint 256                                Atari 8-bit
4MI        AtariTools-800 4 missiles                Atari 8-bit
4PL        AtariTools-800 4 players                 Atari 8-bit
4PM        AtariTools-800 4 players and 4 missiles  Atari 8-bit
A4R        Anime 4ever                              Atari 8-bit
ACS        AtariTools-800 font                      Atari 8-bit
AGP        AtariTools-800 graphic                   Atari 8-bit
AGS        Atari Graphics Studio                    Atari 8-bit
ALL        Graph                                    Atari 8-bit
AN2        Mad Studio ANTIC 2                       Atari 8-bit
AN4        Mad Studio ANTIC 4                       Atari 8-bit
AN5        Mad Studio ANTIC 5                       Atari 8-bit
AP2        Paint 256                                Atari 8-bit
AP3        AP3                                      Atari 8-bit
APA        APA                                      Atari 8-bit
APC        APC                                      Atari 8-bit
APL        Atari Player Editor                      Atari 8-bit
APP        Apac3 Linker-Viewer (SFDN compressed)    Atari 8-bit
APS        Any Point, Any Color (SFDN compressed)   Atari 8-bit
APV        APV                                      Atari 8-bit
ART        Ascii-Art Editor                         Atari 8-bit
ART        Artist by David Eaton                    Atari 8-bit
ART        ART                                      Atari 8-bit
ASC        ASCII maker                              Atari 8-bit
ASC        Mad Studio Graphics 0                    Atari 8-bit
BG9        BG9                                      Atari 8-bit
BGP        Bugbiter APAC239i                        Atari 8-bit
BKG        Movie Maker background                   Atari 8-bit
CCI        Champions' Interlace (compressed)        Atari 8-bit
CHR        Blazing Paddles font                     Atari 8-bit
CIN        Champions' Interlace                     Atari 8-bit
CPI        Marco Pixel Editor                       Atari 8-bit
CPR        Trzmiel (compressed)                     Atari 8-bit
CUT        Cut Creator                              Atari 8-bit
DGI        DGI                                      Atari 8-bit
DGP        DGP                                      Atari 8-bit
DIN        DIN                                      Atari 8-bit
DIT        DrawIt                                   Atari 8-bit
DLM        Dir Logo Maker                           Atari 8-bit
DRG        Atari CAD                                Atari 8-bit
ESC        ESC                                      Atari 8-bit
F80        The Last Word font                       Atari 8-bit
FGE        Floor Designer                           Atari 8-bit
FN2        Atari FontMaker                          Atari 8-bit
FNT        8x8 font                                 Atari 8-bit
FWA        Fun with Art                             Atari 8-bit
G09        G09                                      Atari 8-bit
G10        Graphics 10                              Atari 8-bit
G11        Graphics 11                              Atari 8-bit
G2F        Graph2Font                               Atari 8-bit
G9S        Graphics 9 (SFDN compressed)             Atari 8-bit
GED        GED                                      Atari 8-bit
GHG        Gephard Hires Graphics                   Atari 8-bit
GR0        Mad Studio Graphics 0                    Atari 8-bit
GR1        Mad Studio Graphics 1                    Atari 8-bit
GR2        Mad Studio Graphics 2                    Atari 8-bit
GR3        Mad Studio Graphics 3                    Atari 8-bit
GR7        Graphics 7                               Atari 8-bit
GR8        Graphics 8                               Atari 8-bit
GR9        Graphics 9                               Atari 8-bit
GR9P       Graphics 9+                              Atari 8-bit
HCI        HCI                                      Atari 8-bit
HCM        Hard Color Map                           Atari 8-bit
HIP        Hard Interlace Picture                   Atari 8-bit
HPM        Grass' Slideshow                         Atari 8-bit
HPS        Hard Interlace Picture (SFDN compressed) Atari 8-bit
HR         HR                                       Atari 8-bit
HR2        HR2                                      Atari 8-bit
ICE        Interlace Character Editor font          Atari 8-bit
ICN        ICE CIN                                  Atari 8-bit
IGE        Interlace Graphics Editor                Atari 8-bit
ILC        ILC                                      Atari 8-bit
ILD        Interlace Logo Designer                  Atari 8-bit
ILS        APACVIEW (SFDN compressed)               Atari 8-bit
IMN        ICE MIN                                  Atari 8-bit
ING        ING 15                                   Atari 8-bit
INP        InterPainter                             Atari 8-bit
INS        InterPainter (SFDN compressed)           Atari 8-bit
INT        INT95a                                   Atari 8-bit
IP2        ICE PCIN+                                Atari 8-bit
IPC        ICE PCIN                                 Atari 8-bit
IR2        Super IRG 2                              Atari 8-bit
IRG        Super IRG                                Atari 8-bit
IST        Interlace Studio                         Atari 8-bit
JGP        Jet Graphics Planner                     Atari 8-bit
KFX        KFX                                      Atari 8-bit
KPR        Kompresor do Animatora                   Atari 8-bit
KSS        KSS-Paint                                Atari 8-bit
LDM        Ludek Maker                              Atari 8-bit
LEO        Larka Edytor Obiektów trybu $4+         Atari 8-bit
LUM        Technicolor Dream                        Atari 8-bit
MAP        Envision                                 Atari 8-bit
MAP        EnvisionPC                               Atari 8-bit
MAX        XL-Paint MAX                             Atari 8-bit
MBG        Mad Designer                             Atari 8-bit
MCH        Graph2Font                               Atari 8-bit
MCM        Multi Color Map                          Atari 8-bit
MCP        McPainter                                Atari 8-bit
MCPP       Paradox                                  Atari 8-bit
MCS        MCS                                      Atari 8-bit
MGA        MGA                                      Atari 8-bit
MGP        Magic Painter                            Atari 8-bit
MIC        Micro Illustrator / Graphics 15          Atari 8-bit
MIC        AtariGraphics                            Atari 8-bit
MIC        Graph2Font                               Atari 8-bit
MIC        RastaConverter                           Atari 8-bit
MIS        AtariTools-800 missile                   Atari 8-bit
MPL        Mad Studio multi-color player            Atari 8-bit
MSL        Mad Studio missile                       Atari 8-bit
NLQ        Daisy-Dot font                           Atari 8-bit
ODF        OD Font Editor                           Atari 8-bit
PGR        PowerGraphics                            Atari 8-bit
PI8        PI8                                      Atari 8-bit
PI9        PI9                                      Atari 8-bit
PIC        Graphic Arts Department                  Atari 8-bit
PIC        Koala MicroIllustrator                   Atari 8-bit
PIC        PIC v2                                   Atari 8-bit
PIC        Visualizer                               Atari 8-bit
PIX        PIX                                      Atari 8-bit
PLA        AtariTools-800 player                    Atari 8-bit
PLM        PLM                                      Atari 8-bit
PLS        Plama 256 (SFDN compressed)              Atari 8-bit
PMD        PMG Designer by Henryk Karpowicz         Atari 8-bit
PSF        Print Shop                               Atari 8-bit
PZM        PZM                                      Atari 8-bit
RAP        Vidig Paint                              Atari 8-bit
RAW        XL-Paint MAX                             Atari 8-bit
RGB        ColorViewSquash                          Atari 8-bit
RIP        Rocky Interlace Picture                  Atari 8-bit
RM0        Rambrandt                                Atari 8-bit
RM1        Rambrandt                                Atari 8-bit
RM2        Rambrandt                                Atari 8-bit
RM3        Rambrandt                                Atari 8-bit
RM4        Rambrandt                                Atari 8-bit
RYS        Mamut                                    Atari 8-bit
SCR        Mad Studio Graphics 0                    Atari 8-bit
SFD        Graphics 9 (SFDN compressed)             Atari 8-bit
SG3        Standard Graphics 3                      Atari 8-bit
SGE        Semi-Graphic logos Editor                Atari 8-bit
SHC        SAMAR Hi-res Interlace with Map of Colours Atari 8-bit
SHP        Blazing Paddles shape table              Atari 8-bit
SHP        Movie Maker shapes                       Atari 8-bit
SIF        Super-IRG Font                           Atari 8-bit
SKP        Sketch-PadDles                           Atari 8-bit
SPC        The Graphics Magician Picture Painter    Atari 8-bit
SPR        Mad Studio sprite                        Atari 8-bit
SPR        SprEd                                    Atari 8-bit
SXS        16x16 font                               Atari 8-bit
TIP        Taquart Interlace Picture                Atari 8-bit
TL4        Mad Studio ANTIC 4 tile                  Atari 8-bit
TX0        Texture Maker0 16x16x16                  Atari 8-bit
TXE        Texture Editor by Mikey                  Atari 8-bit
TXS        TXS                                      Atari 8-bit
VSC        Graph2Font vertical scroll               Atari 8-bit
VZI        VertiZontal Interlacing                  Atari 8-bit
WND        Blazing Paddles window                   Atari 8-bit
XLP        XL-Paint                                 Atari 8-bit
ZM4        Zoom-4 graphics editor                   Atari 8-bit
DAP        SlideShow for VBXE                       Atari 8-bit VBXE
G2F        Graph2Font                               Atari 8-bit VBXE
B&W        ImageLab                                 Atari Falcon
BP6        UIMG                                     Atari Falcon
BP8        UIMG                                     Atari Falcon
B_W        ImageLab                                 Atari Falcon
C06        UIMG                                     Atari Falcon
C08        UIMG                                     Atari Falcon
C16        UIMG                                     Atari Falcon
C24        UIMG                                     Atari Falcon
C32        UIMG                                     Atari Falcon
DC1        DuneGraph (compressed)                   Atari Falcon
DEL        DelmPaint                                Atari Falcon
DG1        DuneGraph                                Atari Falcon
DPH        DelmPaint                                Atari Falcon
ESM        TmS Cranach Paint/Studio                 Atari Falcon
FTC        Falcon True Color                        Atari Falcon
FUN        Funny Paint                              Atari Falcon
GOD        GodPaint                                 Atari Falcon
HIR        Print-Technik                            Atari Falcon
IB3        ICDRAW icon                              Atari Falcon
IBI        ICDRAW icon                              Atari Falcon
IIM        InShape                                  Atari Falcon
PI4        Fuckpaint                                Atari Falcon
PI7        Fuckpaint                                Atari Falcon
PI9        Fuckpaint                                Atari Falcon
PIX        PixArt                                   Atari Falcon
PNT        Prism Paint                              Atari Falcon
RAG        RAG-D                                    Atari Falcon
RAGC       Music Compile 2                          Atari Falcon
RAW        IMG Scan                                 Atari Falcon
RWH        IMG Scan                                 Atari Falcon
RWL        IMG Scan                                 Atari Falcon
TCP        Rembrandt                                Atari Falcon
TG1        COKE                                     Atari Falcon
TIMG       TIMG                                     Atari Falcon
TPI        Prism Paint                              Atari Falcon
TRE        Spooky Sprites (compressed)              Atari Falcon
TRP        EggPaint                                 Atari Falcon
TRP        Spooky Sprites                           Atari Falcon
TRU        IndyPaint                                Atari Falcon
XGA        XGA                                      Atari Falcon
PGC        PGC                                      Atari Portfolio
PGF        PGF                                      Atari Portfolio
ART        Art Director                             Atari ST/STE
ART        GFA Artist                               Atari ST/STE
ART        Palette Master                           Atari ST/STE
ART        Doodle                                   Atari ST/STE
BIL        ColorSTar                                Atari ST/STE
BL1        DEGAS Elite block                        Atari ST/STE
BL2        DEGAS Elite block                        Atari ST/STE
BL3        DEGAS Elite block                        Atari ST/STE
BLD        MegaPaint                                Atari ST/STE
BP1        UIMG                                     Atari ST/STE
BP2        UIMG                                     Atari ST/STE
BP4        UIMG                                     Atari ST/STE
BRU        DEGAS Elite brush                        Atari ST/STE
C01        UIMG                                     Atari ST/STE
C02        UIMG                                     Atari ST/STE
C04        UIMG                                     Atari ST/STE
CA1        CrackArt                                 Atari ST/STE
CA2        CrackArt                                 Atari ST/STE
CA3        CrackArt                                 Atari ST/STE
CE1        ComputerEyes                             Atari ST/STE
CE2        ComputerEyes                             Atari ST/STE
CE3        ComputerEyes                             Atari ST/STE
CEL        Cyber Paint Cell                         Atari ST/STE
CL0        Paintworks                               Atari ST/STE
CL1        Paintworks                               Atari ST/STE
CL2        Paintworks                               Atari ST/STE
CMP        Public Painter                           Atari ST/STE
COL        Atari Image Manager                      Atari ST/STE
CP3        Picworks                                 Atari ST/STE
CPT        Canvas (compressed)                      Atari ST/STE
CPT        Canvas (raster)                          Atari ST/STE
CRG        Calamus Raster Graphic                   Atari ST/STE
DA4        PaintShop                                Atari ST/STE
DOO        Doodle                                   Atari ST/STE
DU1        DU1                                      Atari ST/STE
DU2        DU2                                      Atari ST/STE
DUO        DUO                                      Atari ST/STE
EZA        EZ-Art Professional                      Atari ST/STE
FLF        Turbo Rascal Syntax Error                Atari ST/STE
FNT        8x16 font                                Atari ST/STE
FNT        GDOS font                                Atari ST/STE
FUL        Canvas (raster)                          Atari ST/STE
GFB        DeskPic                                  Atari ST/STE
GRX        Grafix                                   Atari ST/STE
HPK        Dali (compressed)                        Atari ST/STE
HRM        HighresMedium                            Atari ST/STE
IC1        Imagic                                   Atari ST/STE
IC2        Imagic                                   Atari ST/STE
IC3        Imagic                                   Atari ST/STE
ICN        DEGAS Elite icon                         Atari ST/STE
IFF        Interchange File Format                  Atari ST/STE
IM         Atari Image Manager                      Atari ST/STE
IMG        GEM Bit Image                            Atari ST/STE
KID        Fullscreen Construction Kit              Atari ST/STE
LPK        Dali (compressed)                        Atari ST/STE
MPK        Dali (compressed)                        Atari ST/STE
MPP        Multi Palette Picture                    Atari ST/STE
MUR        C.O.L.R. Object Editor                   Atari ST/STE
NEO        NEOchrome                                Atari ST/STE
NEO        NEOchrome Master                         Atari ST/STE
NEO        NEOchrome Master                         Atari ST/STE
OBJ        ColorSTar object                         Atari ST/STE
OBJ        MonoSTar object                          Atari ST/STE
P3C        D-GRAPH (compressed)                     Atari ST/STE
PA3        Pablo Paint 2.5                          Atari ST/STE
PAC        STAD                                     Atari ST/STE
PBX        QuantumPaint                             Atari ST/STE
PC1        DEGAS Elite                              Atari ST/STE
PC2        DEGAS Elite                              Atari ST/STE
PC3        DEGAS Elite                              Atari ST/STE
PCI        Tobias Richter Fullscreen Slideshow      Atari ST/STE
PCS        PhotoChrome                              Atari ST/STE
PG0        Paintworks                               Atari ST/STE
PG1        Graphics Processor                       Atari ST/STE
PG1        Paintworks                               Atari ST/STE
PG2        Graphics Processor                       Atari ST/STE
PG2        Paintworks                               Atari ST/STE
PG3        Graphics Processor                       Atari ST/STE
PI1        DEGAS                                    Atari ST/STE
PI2        DEGAS                                    Atari ST/STE
PI3        DEGAS                                    Atari ST/STE
PIC        PaintPro ST                              Atari ST/STE
PL4        PL4                                      Atari ST/STE
PPP        Pablo Paint 1.1                          Atari ST/STE
PSC        PaintShop (compressed)                   Atari ST/STE
RGB        RGB Intermediate                         Atari ST/STE
RGH        ZZ_ROUGH                                 Atari ST/STE
SC0        Paintworks                               Atari ST/STE
SC1        Paintworks                               Atari ST/STE
SC2        Paintworks                               Atari ST/STE
SD0        Dali                                     Atari ST/STE
SD1        Dali                                     Atari ST/STE
SD2        Dali                                     Atari ST/STE
SPC        Spectrum 512 (compressed)                Atari ST/STE
SPS        Spectrum 512 (smooshed)                  Atari ST/STE
SPU        Spectrum 512                             Atari ST/STE
SPU        Spectrum 512 (enhanced)                  Atari ST/STE
SPX        Spectrum 512 (extended)                  Atari ST/STE
SRT        Synthetic Arts                           Atari ST/STE
SSB        Sinbad Slideshow                         Atari ST/STE
SUH        DEGAS                                    Atari ST/STE
TN1        Tiny Stuff                               Atari ST/STE
TN2        Tiny Stuff                               Atari ST/STE
TN3        Tiny Stuff                               Atari ST/STE
TN4        Tiny Stuff                               Atari ST/STE
TN5        Tiny Stuff                               Atari ST/STE
TN6        Tiny Stuff                               Atari ST/STE
TNY        Tiny Stuff                               Atari ST/STE
XIMG       Extended GEM Bit Image                   Atari ST/STE
PI4        PI4                                      Atari TT
PI5        PI5                                      Atari TT
PI6        PI6                                      Atari TT
BB0        Mode 0                                   BBC Micro
BB1        Mode 1                                   BBC Micro
BB2        Mode 2                                   BBC Micro
BB4        Mode 4                                   BBC Micro
BB5        Mode 5                                   BBC Micro
BBG        LdPic                                    BBC Micro
FLF        Turbo Rascal Syntax Error                BBC Micro
BM         VDC BitMap                               Commodore 128
BRUS       BASIC 8                                  Commodore 128
IP         I Paint                                  Commodore 128
PICT       BASIC 8                                  Commodore 128
VBM        VDC BitMap                               Commodore 128
P4I        Botticelli                               Commodore 16/116/Plus4
P4I        Multi Botticelli                         Commodore 16/116/Plus4
P4I        P4I                                      Commodore 16/116/Plus4
4BT        GoDot                                    Commodore 64
64C        8x8 font                                 Commodore 64
A          SEUCK sprites                            Commodore 64
A64        Wigmore Artist 64                        Commodore 64
AAS        Art Studio                               Commodore 64
AFL        AFLI-editor                              Commodore 64
AMI        Amica Paint                              Commodore 64
ART        Art Studio                               Commodore 64
BDP        Boogie Down Paint                        Commodore 64
BED        Dolphin Ed                               Commodore 64
BFL        Big FLI                                  Commodore 64
BFLI       Big FLI                                  Commodore 64
BML        FLI Graph                                Commodore 64
BPL        Blazing Paddles                          Commodore 64
BS         Printfox                                 Commodore 64
CDU        CDU-Paint                                Commodore 64
CFLI       CFLI Designer                            Commodore 64
CGX        Commodore Grafix                         Commodore 64
CHE        Cheese                                   Commodore 64
CLE        Centauri Logo-Editor                     Commodore 64
CLP        GoDot clip                               Commodore 64
CS         Star Painter                             Commodore 64
CTM        CharPad                                  Commodore 64
CWG        Create with Garfield                     Commodore 64
DD         Doodle                                   Commodore 64
DDP        Doodle                                   Commodore 64
DLP        Drazlace                                 Commodore 64
DOL        Dolphin Ed                               Commodore 64
DRL        Drazlace                                 Commodore 64
DRP        Drazpaint                                Commodore 64
DRZ        Drazpaint                                Commodore 64
ECI        ECI Graphic Editor                       Commodore 64
ECP        ECI Graphic Editor (compressed)          Commodore 64
EMC        EMC-editor                               Commodore 64
ESH        Extend Super Hires Interlace Editor      Commodore 64
FBI        Flip                                     Commodore 64
FCP        Face Painter                             Commodore 64
FD2        FLI Designer                             Commodore 64
FED        FLI Editor                               Commodore 64
FFL        Flash FLI                                Commodore 64
FFLI       Flash FLI                                Commodore 64
FGS        Hires-Bitmap                             Commodore 64
FLF        Turbo Rascal Syntax Error                Commodore 64
FLG        FLI Graph                                Commodore 64
FLI        FLI Graph                                Commodore 64
FLI        FLI                                      Commodore 64
FLM        Flimatic                                 Commodore 64
FLY        Picasso 64                               Commodore 64
FP         Fuckpaint                                Commodore 64
FP2        Funpaint                                 Commodore 64
FPR        FLI Profi                                Commodore 64
FPT        Face Painter                             Commodore 64
FUN        Funpaint                                 Commodore 64
G          SEUCK font                               Commodore 64
GB         Printfox                                 Commodore 64
GCD        GCD                                      Commodore 64
GG         Koala Painter (compressed)               Commodore 64
GIG        Interpaint                               Commodore 64
GIG        Koala Painter                            Commodore 64
GIH        Run Paint                                Commodore 64
GR         Star Painter                             Commodore 64
GUN        Gunpaint                                 Commodore 64
HBM        Hires-Bitmap                             Commodore 64
HCB        HCB-editor                               Commodore 64
HED        Hi-Eddi                                  Commodore 64
HET        Hires-Editor                             Commodore 64
HFC        Hires FLI Designer                       Commodore 64
HFD        Hires FLI Designer                       Commodore 64
HIE        Hires Interlace                          Commodore 64
HIM        Hires Manager                            Commodore 64
HIR        Hires-Bitmap                             Commodore 64
HLE        Hireslace Editor                         Commodore 64
HLF        Hires Interlace                          Commodore 64
HPC        Hi-Pic Creator                           Commodore 64
HPI        Hires-Bitmap                             Commodore 64
HPI        Interpaint                               Commodore 64
HRE        Interpaint                               Commodore 64
IFL        Gunpaint                                 Commodore 64
IHE        Interlace Hires Editor                   Commodore 64
ILE        Interlaced Logo Editor                   Commodore 64
IPH        Interpaint                               Commodore 64
IPT        Interpaint                               Commodore 64
ISH        Image System                             Commodore 64
ISH        Interlace-Super-Hires Painter            Commodore 64
ISM        Image System                             Commodore 64
JJ         Doodle (compressed)                      Commodore 64
KLA        Koala Painter                            Commodore 64
KOA        Koala Painter                            Commodore 64
LP3        Logo Painter 3/3+                        Commodore 64
LRE        Interpaint                               Commodore 64
MCI        True Paint                               Commodore 64
MIL        Micro Illustrator                        Commodore 64
MLE        Multi-Lace Editor                        Commodore 64
MON        MON                                      Commodore 64
MPI        Advanced Art Studio                      Commodore 64
MPIC       Advanced Art Studio                      Commodore 64
MUF        MUFLI Editor                             Commodore 64
MUI        MUIFLI Editor                            Commodore 64
MUP        MUFLI Editor (compressed)                Commodore 64
MWI        Art Studio window                        Commodore 64
MWIN       Art Studio window                        Commodore 64
NUF        NUFLI Editor                             Commodore 64
NUP        NUFLI Editor (compressed)                Commodore 64
OCP        Advanced Art Studio                      Commodore 64
P64        Picasso 64                               Commodore 64
PBOT       PETSCII BOT                              Commodore 64
PDR        PetDraw64                                Commodore 64
PET        C64 OS screenshot v2                     Commodore 64
PET        PETSCII Editor                           Commodore 64
PG         Pagefox                                  Commodore 64
PI         Blazing Paddles                          Commodore 64
PMG        Paint Magic                              Commodore 64
PP         Pixel Perfect                            Commodore 64
PPP        Pixel Perfect (compressed)               Commodore 64
RP         Rainbow Painter                          Commodore 64
RPH        Run Paint                                Commodore 64
RPM        Run Paint                                Commodore 64
RPO        Run Paint                                Commodore 64
SAR        Saracen Paint                            Commodore 64
SCR        PETSCII Editor                           Commodore 64
SH1        Super-hires Editor I                     Commodore 64
SH2        Super-hires Editor II                    Commodore 64
SHE        Super Hires Editor                       Commodore 64
SHE        Super Hires Editor 2                     Commodore 64
SHF        Super Hires FLI Editor                   Commodore 64
SHI        Super Hires Interlace Editor             Commodore 64
SHP        Loadstar                                 Commodore 64
